CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
35 - 44,Sales,Medical,900,Female,Sales Representative,Married,37,Associates Degree,1
45 - 54,R&D,Life Sciences,901,Female,Research Director,Single,53,Master's Degree,1
35 - 44,R&D,Life Sciences,902,Female,Healthcare Representative,Married,43,Bachelor's Degree,1
45 - 54,Sales,Marketing,903,Female,Sales Executive,Married,47,Associates Degree,1
35 - 44,Sales,Medical,904,Male,Sales Executive,Single,37,Associates Degree,1
45 - 54,R&D,Life Sciences,905,Male,Manager,Divorced,50,Master's Degree,1
35 - 44,HR,Life Sciences,909,Female,Human Resources,Married,39,Bachelor's Degree,1
25 - 34,HR,Human Resources,910,Male,Human Resources,Divorced,33,Associates Degree,1
25 - 34,R&D,Life Sciences,911,Male,Laboratory Technician,Single,32,Master's Degree,1
25 - 34,R&D,Medical,912,Female,Laboratory Technician,Divorced,29,High School,1
35 - 44,R&D,Life Sciences,913,Male,Research Scientist,Married,44,Associates Degree,1
25 - 34,Sales,Medical,916,Male,Sales Executive,Single,28,Master's Degree,1
Over 55,R&D,Life Sciences,918,Male,Laboratory Technician,Divorced,58,High School,1
35 - 44,R&D,Life Sciences,920,Female,Manufacturing Director,Divorced,43,Bachelor's Degree,1
Under 25,Sales,Medical,922,Female,Sales Representative,Single,20,Bachelor's Degree,1
Under 25,R&D,Other,923,Female,Research Scientist,Single,21,High School,1
35 - 44,R&D,Life Sciences,924,Male,Healthcare Representative,Married,36,High School,1
45 - 54,Sales,Life Sciences,925,Female,Sales Representative,Single,47,Master's Degree,1
Under 25,R&D,Life Sciences,926,Female,Manufacturing Director,Married,22,High School,1
35 - 44,R&D,Life Sciences,927,Female,Laboratory Technician,Divorced,41,Master's Degree,1
25 - 34,R&D,Medical,930,Female,Research Scientist,Divorced,28,Bachelor's Degree,1
35 - 44,R&D,Medical,932,Male,Laboratory Technician,Married,39,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,933,Female,Research Scientist,Single,27,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,934,Male,Laboratory Technician,Divorced,34,Bachelor's Degree,1
35 - 44,Sales,Medical,936,Female,Sales Executive,Single,42,Associates Degree,1
25 - 34,R&D,Other,939,Male,Research Scientist,Single,33,Master's Degree,1
Over 55,R&D,Technical Degree,940,Female,Healthcare Representative,Divorced,58,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,941,Male,Sales Representative,Married,31,Master's Degree,1
35 - 44,R&D,Life Sciences,942,Female,Healthcare Representative,Married,35,High School,1
45 - 54,R&D,Other,944,Female,Laboratory Technician,Married,49,Associates Degree,1
45 - 54,R&D,Medical,945,Male,Research Scientist,Married,48,Master's Degree,1
25 - 34,Sales,Marketing,947,Female,Sales Executive,Married,31,Associates Degree,1
35 - 44,R&D,Other,949,Male,Research Scientist,Single,36,Master's Degree,1
35 - 44,R&D,Technical Degree,950,Female,Research Director,Married,38,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,951,Female,Laboratory Technician,Married,32,Bachelor's Degree,1
25 - 34,Sales,Marketing,952,Male,Sales Representative,Married,25,Associates Degree,1
35 - 44,Sales,Marketing,954,Male,Sales Executive,Divorced,40,Master's Degree,1
25 - 34,Sales,Medical,956,Male,Sales Executive,Single,26,Bachelor's Degree,1
35 - 44,R&D,Medical,957,Male,Laboratory Technician,Single,41,Bachelor's Degree,1
35 - 44,R&D,Medical,958,Male,Laboratory Technician,Single,36,Master's Degree,1
Under 25,Sales,Other,959,Male,Sales Representative,Single,19,Bachelor's Degree,1
Under 25,R&D,Technical Degree,960,Male,Laboratory Technician,Single,20,Bachelor's Degree,1
25 - 34,R&D,Medical,961,Female,Healthcare Representative,Married,31,Bachelor's Degree,1
35 - 44,R&D,Medical,964,Male,Research Scientist,Divorced,40,Master's Degree,1
25 - 34,R&D,Medical,966,Female,Manufacturing Director,Married,32,Master's Degree,1
35 - 44,Sales,Life Sciences,967,Male,Sales Executive,Married,36,High School,1
25 - 34,R&D,Life Sciences,969,Female,Healthcare Representative,Single,33,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,970,Male,Sales Executive,Married,37,Master's Degree,1
45 - 54,R&D,Life Sciences,972,Male,Laboratory Technician,Married,45,Associates Degree,1
25 - 34,Sales,Technical Degree,974,Female,Sales Representative,Married,29,Bachelor's Degree,1
35 - 44,Sales,Medical,975,Female,Sales Executive,Married,35,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,976,Male,Manager,Married,52,Associates Degree,1
Over 55,R&D,Technical Degree,977,Male,Research Scientist,Single,58,Bachelor's Degree,1
45 - 54,Sales,Medical,981,Male,Manager,Divorced,53,Associates Degree,1
25 - 34,Sales,Other,982,Male,Sales Executive,Divorced,30,Associates Degree,1
35 - 44,Sales,Technical Degree,983,Female,Sales Executive,Single,38,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,984,Male,Sales Executive,Divorced,35,Master's Degree,1
35 - 44,Sales,Life Sciences,985,Male,Sales Executive,Single,39,Doctoral Degree,1
35 - 44,Sales,Life Sciences,986,Female,Sales Executive,Single,40,Bachelor's Degree,1
45 - 54,R&D,Medical,987,Male,Manufacturing Director,Divorced,47,Master's Degree,1
35 - 44,Sales,Technical Degree,990,Male,Sales Executive,Divorced,36,Master's Degree,1
25 - 34,R&D,Medical,991,Male,Research Scientist,Single,31,Associates Degree,1
25 - 34,Sales,Life Sciences,992,Male,Manager,Single,33,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,994,Female,Research Scientist,Single,29,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,995,Female,Research Scientist,Single,33,High School,1
45 - 54,R&D,Medical,996,Female,Laboratory Technician,Divorced,45,Master's Degree,1
45 - 54,R&D,Medical,997,Male,Research Director,Divorced,50,Associates Degree,1
25 - 34,R&D,Other,998,Female,Healthcare Representative,Married,33,Master's Degree,1
35 - 44,R&D,Medical,999,Male,Research Director,Divorced,41,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1001,Female,Laboratory Technician,Married,27,Master's Degree,1
45 - 54,R&D,Life Sciences,1002,Male,Laboratory Technician,Married,45,Associates Degree,1
45 - 54,Sales,Life Sciences,1003,Female,Sales Executive,Single,47,Associates Degree,1
25 - 34,R&D,Life Sciences,1004,Female,Research Scientist,Married,30,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1005,Male,Manufacturing Director,Married,50,Bachelor's Degree,1
35 - 44,R&D,Medical,1006,Male,Research Scientist,Married,38,High School,1
45 - 54,R&D,Medical,1007,Male,Manufacturing Director,Divorced,46,Associates Degree,1
Under 25,R&D,Medical,1009,Female,Manufacturing Director,Divorced,24,High School,1
35 - 44,R&D,Other,1010,Male,Laboratory Technician,Divorced,35,Master's Degree,1
25 - 34,R&D,Life Sciences,1011,Female,Manufacturing Director,Married,31,High School,1
Under 25,R&D,Life Sciences,1012,Male,Research Scientist,Single,18,Associates Degree,1
45 - 54,R&D,Technical Degree,1013,Female,Manufacturing Director,Married,54,Bachelor's Degree,1
35 - 44,R&D,Medical,1014,Female,Healthcare Representative,Divorced,35,Master's Degree,1
25 - 34,R&D,Life Sciences,1015,Female,Research Director,Married,30,Associates Degree,1
Under 25,R&D,Medical,1016,Female,Research Scientist,Single,20,Bachelor's Degree,1
25 - 34,R&D,Medical,1017,Female,Laboratory Technician,Single,30,Bachelor's Degree,1
25 - 34,R&D,Medical,1018,Male,Manufacturing Director,Married,26,Associates Degree,1
Under 25,R&D,Life Sciences,1019,Male,Laboratory Technician,Married,22,High School,1
45 - 54,R&D,Life Sciences,1022,Male,Healthcare Representative,Single,48,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1024,Male,Healthcare Representative,Single,48,Master's Degree,1
35 - 44,R&D,Medical,1025,Female,Manufacturing Director,Single,41,Associates Degree,1
35 - 44,R&D,Life Sciences,1026,Female,Manufacturing Director,Married,39,High School,1
25 - 34,R&D,Life Sciences,1027,Female,Manufacturing Director,Married,27,Master's Degree,1
35 - 44,R&D,Other,1028,Male,Laboratory Technician,Divorced,35,Bachelor's Degree,1
35 - 44,Sales,Marketing,1029,Male,Manager,Married,42,Associates Degree,1
45 - 54,R&D,Life Sciences,1030,Male,Laboratory Technician,Married,50,Bachelor's Degree,1
Over 55,R&D,Life Sciences,1032,Female,Manufacturing Director,Single,59,Bachelor's Degree,1
35 - 44,R&D,Medical,1033,Female,Healthcare Representative,Married,37,Associates Degree,1
Over 55,R&D,Medical,1034,Male,Healthcare Representative,Married,55,Master's Degree,1
35 - 44,R&D,Life Sciences,1035,Female,Research Director,Divorced,41,High School,1
35 - 44,Sales,Life Sciences,1036,Male,Sales Executive,Single,38,Master's Degree,1
25 - 34,Sales,Medical,1037,Male,Sales Executive,Single,26,Associates Degree,1
45 - 54,Sales,Marketing,1038,Female,Manager,Married,52,High School,1
35 - 44,Sales,Medical,1039,Female,Sales Executive,Married,44,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1040,Female,Sales Executive,Married,50,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1042,Female,Laboratory Technician,Single,36,Master's Degree,1
35 - 44,R&D,Medical,1043,Female,Manufacturing Director,Single,39,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1044,Female,Sales Representative,Single,33,High School,1
45 - 54,Sales,Life Sciences,1045,Female,Manager,Married,45,Associates Degree,1
25 - 34,R&D,Medical,1046,Female,Laboratory Technician,Single,32,Master's Degree,1
25 - 34,Sales,Marketing,1047,Male,Sales Executive,Divorced,34,Master's Degree,1
Over 55,Sales,Technical Degree,1048,Male,Manager,Married,59,Associates Degree,1
45 - 54,HR,Medical,1049,Male,Human Resources,Single,45,Master's Degree,1
45 - 54,Sales,Marketing,1050,Female,Sales Executive,Married,53,Bachelor's Degree,1
35 - 44,R&D,Other,1052,Male,Laboratory Technician,Divorced,36,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1053,Male,Research Scientist,Married,26,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1055,Female,Sales Representative,Married,34,Master's Degree,1
25 - 34,Sales,Medical,1056,Male,Sales Representative,Married,28,High School,1
35 - 44,R&D,Other,1060,Male,Research Scientist,Married,38,Master's Degree,1
45 - 54,R&D,Medical,1061,Male,Research Director,Married,50,Master's Degree,1
35 - 44,R&D,Other,1062,Female,Healthcare Representative,Single,37,Bachelor's Degree,1
35 - 44,Sales,Marketing,1066,Male,Sales Executive,Married,40,Bachelor's Degree,1
25 - 34,R&D,Medical,1068,Female,Research Scientist,Divorced,26,High School,1
45 - 54,R&D,Medical,1069,Male,Research Director,Divorced,46,Master's Degree,1
45 - 54,Sales,Life Sciences,1070,Female,Sales Executive,Married,54,Master's Degree,1
Over 55,R&D,Medical,1071,Female,Research Scientist,Married,56,Bachelor's Degree,1
35 - 44,R&D,Medical,1073,Female,Manufacturing Director,Single,36,Doctoral Degree,1
Over 55,R&D,Medical,1074,Male,Manager,Single,55,High School,1
35 - 44,Sales,Medical,1076,Male,Sales Executive,Divorced,43,Bachelor's Degree,1
Under 25,Sales,Marketing,1077,Female,Sales Representative,Single,20,Bachelor's Degree,1
Under 25,R&D,Life Sciences,1079,Female,Laboratory Technician,Single,21,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1080,Female,Research Scientist,Divorced,46,Master's Degree,1
45 - 54,R&D,Life Sciences,1081,Male,Research Scientist,Married,51,Master's Degree,1
25 - 34,R&D,Technical Degree,1082,Male,Healthcare Representative,Single,28,Associates Degree,1
25 - 34,R&D,Medical,1083,Male,Laboratory Technician,Married,26,Associates Degree,1
25 - 34,R&D,Other,1084,Male,Manufacturing Director,Married,30,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,1085,Female,Research Scientist,Married,41,Associates Degree,1
35 - 44,R&D,Life Sciences,1088,Female,Healthcare Representative,Married,38,High School,1
35 - 44,R&D,Technical Degree,1092,Male,Healthcare Representative,Married,40,Master's Degree,1
25 - 34,R&D,Life Sciences,1094,Male,Laboratory Technician,Married,27,Doctoral Degree,1
Over 55,R&D,Life Sciences,1096,Male,Manufacturing Director,Married,55,High School,1
25 - 34,R&D,Other,1097,Female,Research Scientist,Single,28,Bachelor's Degree,1
35 - 44,HR,Medical,1098,Male,Human Resources,Married,44,Associates Degree,1
25 - 34,R&D,Life Sciences,1099,Male,Healthcare Representative,Divorced,33,Bachelor's Degree,1
35 - 44,Sales,Technical Degree,1100,Male,Sales Executive,Single,35,Bachelor's Degree,1
25 - 34,R&D,Medical,1101,Female,Research Scientist,Single,33,Master's Degree,1
25 - 34,R&D,Life Sciences,1102,Male,Laboratory Technician,Divorced,28,Associates Degree,1
25 - 34,R&D,Life Sciences,1103,Male,Healthcare Representative,Single,34,High School,1
35 - 44,Sales,Life Sciences,1105,Female,Sales Executive,Divorced,37,Master's Degree,1
25 - 34,R&D,Technical Degree,1106,Male,Laboratory Technician,Married,25,High School,1
25 - 34,R&D,Medical,1107,Male,Laboratory Technician,Divorced,26,Bachelor's Degree,1
25 - 34,R&D,Medical,1108,Male,Research Scientist,Single,33,Bachelor's Degree,1
35 - 44,R&D,Medical,1109,Male,Manager,Married,42,Associates Degree,1
25 - 34,R&D,Medical,1111,Male,Laboratory Technician,Divorced,28,Bachelor's Degree,1
45 - 54,Sales,Other,1113,Male,Sales Executive,Single,50,Master's Degree,1
25 - 34,Sales,Life Sciences,1114,Female,Sales Executive,Married,33,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1115,Male,Research Scientist,Married,34,Master's Degree,1
45 - 54,R&D,Medical,1116,Male,Manager,Single,48,Master's Degree,1
45 - 54,Sales,Life Sciences,1117,Female,Sales Executive,Married,45,Master's Degree,1
45 - 54,R&D,Life Sciences,1118,Male,Healthcare Representative,Single,52,Master's Degree,1
35 - 44,Sales,Marketing,1119,Male,Sales Executive,Divorced,38,Master's Degree,1
25 - 34,R&D,Life Sciences,1120,Female,Research Scientist,Divorced,29,Master's Degree,1
25 - 34,R&D,Medical,1121,Female,Manufacturing Director,Divorced,28,Bachelor's Degree,1
45 - 54,Sales,Marketing,1124,Male,Manager,Married,46,High School,1
35 - 44,Sales,Marketing,1125,Male,Sales Executive,Single,38,Associates Degree,1
35 - 44,R&D,Life Sciences,1126,Female,Manufacturing Director,Married,43,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1127,Male,Healthcare Representative,Divorced,39,Bachelor's Degree,1
35 - 44,R&D,Medical,1128,Male,Research Director,Single,40,Bachelor's Degree,1
Under 25,R&D,Technical Degree,1131,Female,Research Scientist,Single,21,High School,1
35 - 44,R&D,Life Sciences,1132,Male,Laboratory Technician,Single,39,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1133,Male,Manufacturing Director,Single,36,Master's Degree,1
25 - 34,Sales,Life Sciences,1135,Male,Sales Representative,Married,31,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1136,Male,Research Scientist,Married,28,High School,1
35 - 44,Sales,Marketing,1137,Male,Sales Executive,Divorced,35,Associates Degree,1
45 - 54,Sales,Technical Degree,1138,Male,Sales Executive,Married,49,Master's Degree,1
25 - 34,R&D,Life Sciences,1140,Male,Manufacturing Director,Single,34,Associates Degree,1
25 - 34,R&D,Life Sciences,1143,Female,Research Scientist,Divorced,29,Bachelor's Degree,1
35 - 44,R&D,Medical,1148,Male,Laboratory Technician,Single,42,Bachelor's Degree,1
25 - 34,R&D,Medical,1150,Male,Manufacturing Director,Married,29,High School,1
35 - 44,HR,Human Resources,1152,Male,Human Resources,Married,38,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1154,Male,Research Scientist,Divorced,28,Bachelor's Degree,1
Under 25,R&D,Medical,1156,Male,Laboratory Technician,Single,18,High School,1
25 - 34,Sales,Marketing,1157,Female,Sales Executive,Single,33,Master's Degree,1
35 - 44,R&D,Life Sciences,1158,Male,Laboratory Technician,Married,41,Master's Degree,1
25 - 34,R&D,Medical,1160,Male,Laboratory Technician,Married,31,Bachelor's Degree,1
35 - 44,R&D,Medical,1161,Female,Healthcare Representative,Divorced,37,Associates Degree,1
25 - 34,R&D,Life Sciences,1162,Male,Research Scientist,Married,27,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1163,Female,Sales Executive,Married,34,High School,1
35 - 44,HR,Technical Degree,1164,Male,Human Resources,Single,35,Master's Degree,1
25 - 34,Sales,Life Sciences,1165,Female,Sales Executive,Married,29,High School,1
35 - 44,R&D,Medical,1166,Female,Research Director,Single,40,Master's Degree,1
35 - 44,Sales,Life Sciences,1167,Male,Sales Executive,Single,42,Bachelor's Degree,1
35 - 44,Sales,Marketing,1171,Male,Sales Executive,Single,42,Master's Degree,1
35 - 44,R&D,Medical,1172,Male,Laboratory Technician,Married,35,Master's Degree,1
Under 25,R&D,Medical,1173,Male,Laboratory Technician,Single,24,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1175,Female,Laboratory Technician,Married,28,High School,1
25 - 34,R&D,Medical,1177,Male,Laboratory Technician,Married,26,Master's Degree,1
25 - 34,Sales,Marketing,1179,Male,Sales Executive,Married,30,Bachelor's Degree,1
35 - 44,R&D,Medical,1180,Female,Research Scientist,Married,40,Associates Degree,1
35 - 44,R&D,Life Sciences,1182,Male,Manufacturing Director,Divorced,35,Bachelor's Degree,1
25 - 34,R&D,Medical,1184,Male,Healthcare Representative,Single,34,Bachelor's Degree,1
35 - 44,R&D,Other,1185,Male,Laboratory Technician,Married,35,Master's Degree,1
35 - 44,Sales,Marketing,1188,Female,Sales Executive,Single,43,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1190,Female,Sales Representative,Divorced,32,High School,1
Over 55,R&D,Technical Degree,1191,Female,Manager,Divorced,56,Master's Degree,1
25 - 34,R&D,Medical,1192,Female,Laboratory Technician,Married,29,High School,1
Under 25,R&D,Life Sciences,1193,Male,Research Scientist,Single,19,Associates Degree,1
45 - 54,R&D,Medical,1195,Female,Research Scientist,Married,45,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1196,Female,Manufacturing Director,Married,37,Bachelor's Degree,1
Under 25,R&D,Life Sciences,1198,Male,Laboratory Technician,Single,20,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1200,Male,Research Scientist,Single,44,Master's Degree,1
45 - 54,R&D,Medical,1201,Female,Manager,Divorced,53,Associates Degree,1
25 - 34,R&D,Life Sciences,1202,Female,Research Scientist,Married,29,High School,1
Under 25,R&D,Life Sciences,1203,Male,Research Scientist,Married,22,Master's Degree,1
45 - 54,Sales,Marketing,1204,Female,Manager,Married,46,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1206,Male,Research Scientist,Single,44,Bachelor's Degree,1
25 - 34,HR,Human Resources,1207,Male,Human Resources,Married,33,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1210,Male,Research Scientist,Divorced,41,Associates Degree,1
25 - 34,Sales,Life Sciences,1211,Male,Sales Executive,Divorced,30,Master's Degree,1
35 - 44,Sales,Medical,1212,Male,Sales Executive,Married,40,Master's Degree,1
45 - 54,R&D,Medical,1215,Female,Manager,Married,50,Bachelor's Degree,1
25 - 34,R&D,Medical,1216,Male,Laboratory Technician,Married,28,Master's Degree,1
45 - 54,R&D,Life Sciences,1217,Male,Research Director,Married,46,Associates Degree,1
35 - 44,Sales,Life Sciences,1218,Male,Sales Executive,Married,35,Master's Degree,1
Under 25,R&D,Life Sciences,1219,Female,Laboratory Technician,Married,24,Associates Degree,1
25 - 34,Sales,Medical,1220,Female,Sales Executive,Married,33,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1221,Male,Laboratory Technician,Divorced,36,Master's Degree,1
25 - 34,R&D,Life Sciences,1224,Male,Laboratory Technician,Divorced,30,Master's Degree,1
35 - 44,R&D,Other,1225,Male,Research Scientist,Single,44,Master's Degree,1
Under 25,Sales,Marketing,1226,Male,Sales Representative,Single,20,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1228,Male,Manufacturing Director,Divorced,46,Master's Degree,1
35 - 44,HR,Medical,1231,Male,Human Resources,Married,42,Doctoral Degree,1
Over 55,Sales,Marketing,1233,Male,Sales Executive,Divorced,60,Master's Degree,1
25 - 34,R&D,Other,1234,Female,Laboratory Technician,Married,32,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1235,Female,Research Scientist,Single,32,Associates Degree,1
35 - 44,R&D,Technical Degree,1237,Female,Manufacturing Director,Divorced,36,Bachelor's Degree,1
25 - 34,R&D,Medical,1238,Male,Research Scientist,Married,33,Bachelor's Degree,1
35 - 44,Sales,Technical Degree,1239,Female,Sales Executive,Divorced,40,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,1240,Male,Sales Executive,Single,25,Master's Degree,1
25 - 34,R&D,Medical,1241,Male,Research Scientist,Married,30,Bachelor's Degree,1
35 - 44,R&D,Medical,1242,Female,Research Director,Married,42,Doctoral Degree,1
35 - 44,Sales,Marketing,1243,Female,Sales Executive,Married,35,Associates Degree,1
25 - 34,R&D,Life Sciences,1244,Male,Research Scientist,Married,27,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1245,Female,Manufacturing Director,Divorced,54,Master's Degree,1
35 - 44,R&D,Life Sciences,1246,Female,Research Scientist,Married,44,High School,1
Under 25,R&D,Medical,1248,Female,Research Scientist,Single,19,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1249,Female,Research Scientist,Divorced,29,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1250,Male,Research Director,Married,54,Bachelor's Degree,1
25 - 34,R&D,Medical,1251,Male,Healthcare Representative,Married,31,Associates Degree,1
25 - 34,R&D,Medical,1252,Female,Healthcare Representative,Single,31,Bachelor's Degree,1
Over 55,Sales,Life Sciences,1254,Female,Sales Executive,Single,59,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1255,Male,Research Director,Married,43,Bachelor's Degree,1
45 - 54,R&D,Medical,1256,Male,Manager,Married,49,Associates Degree,1
35 - 44,R&D,Technical Degree,1257,Male,Research Scientist,Married,36,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,1258,Male,Laboratory Technician,Single,48,Associates Degree,1
25 - 34,R&D,Life Sciences,1259,Male,Research Scientist,Divorced,27,Associates Degree,1
25 - 34,R&D,Life Sciences,1260,Male,Healthcare Representative,Divorced,29,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1263,Male,Research Director,Single,48,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1264,Female,Research Director,Divorced,29,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1265,Female,Research Scientist,Married,34,Bachelor's Degree,1
35 - 44,Sales,Marketing,1267,Male,Manager,Married,44,Bachelor's Degree,1
25 - 34,Sales,Marketing,1268,Male,Sales Executive,Divorced,33,Doctoral Degree,1
Under 25,R&D,Life Sciences,1269,Female,Research Scientist,Single,19,Bachelor's Degree,1
Under 25,R&D,Life Sciences,1270,Male,Research Scientist,Married,23,Associates Degree,1
25 - 34,Sales,Life Sciences,1273,Male,Sales Representative,Single,25,High School,1
25 - 34,R&D,Life Sciences,1275,Male,Research Scientist,Single,26,Associates Degree,1
45 - 54,Sales,Marketing,1277,Female,Manager,Single,45,Bachelor's Degree,1
Over 55,R&D,Medical,1278,Male,Healthcare Representative,Divorced,55,High School,1
Under 25,R&D,Life Sciences,1279,Female,Laboratory Technician,Single,21,Associates Degree,1
45 - 54,Sales,Marketing,1280,Female,Manager,Married,46,Associates Degree,1
25 - 34,Sales,Marketing,1281,Female,Sales Executive,Single,34,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,1282,Male,Manager,Divorced,51,Bachelor's Degree,1
Over 55,R&D,Medical,1283,Male,Manufacturing Director,Single,59,Master's Degree,1
25 - 34,R&D,Medical,1285,Female,Laboratory Technician,Divorced,34,Bachelor's Degree,1
25 - 34,R&D,Medical,1286,Male,Laboratory Technician,Single,28,Master's Degree,1
35 - 44,R&D,Life Sciences,1288,Male,Manager,Divorced,44,Associates Degree,1
25 - 34,HR,Life Sciences,1289,Male,Human Resources,Married,34,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1291,Male,Research Scientist,Married,35,High School,1
35 - 44,R&D,Medical,1292,Female,Research Scientist,Married,42,Master's Degree,1
35 - 44,Sales,Marketing,1293,Female,Sales Executive,Single,43,Master's Degree,1
35 - 44,R&D,Life Sciences,1294,Female,Manufacturing Director,Single,36,Master's Degree,1
35 - 44,R&D,Medical,1295,Female,Healthcare Representative,Married,44,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,1296,Male,Laboratory Technician,Married,28,Bachelor's Degree,1
45 - 54,R&D,Medical,1297,Female,Laboratory Technician,Single,51,Associates Degree,1
25 - 34,R&D,Medical,1298,Female,Manufacturing Director,Single,30,Associates Degree,1
25 - 34,R&D,Technical Degree,1299,Female,Laboratory Technician,Divorced,29,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1301,Male,Research Scientist,Single,28,Bachelor's Degree,1
25 - 34,R&D,Medical,1303,Female,Research Scientist,Single,25,Bachelor's Degree,1
25 - 34,Sales,Medical,1304,Male,Sales Executive,Married,32,Bachelor's Degree,1
45 - 54,R&D,Medical,1306,Female,Manager,Single,45,Bachelor's Degree,1
35 - 44,R&D,Medical,1307,Female,Manager,Divorced,39,Master's Degree,1
Over 55,R&D,Life Sciences,1308,Male,Research Scientist,Divorced,58,Master's Degree,1
25 - 34,R&D,Life Sciences,1309,Male,Laboratory Technician,Married,32,Associates Degree,1
35 - 44,R&D,Medical,1310,Male,Research Scientist,Single,39,Bachelor's Degree,1
25 - 34,R&D,Technical Degree,1311,Female,Laboratory Technician,Married,30,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,1312,Female,Healthcare Representative,Married,36,Master's Degree,1
45 - 54,HR,Life Sciences,1314,Female,Human Resources,Single,46,Associates Degree,1
25 - 34,R&D,Life Sciences,1315,Female,Laboratory Technician,Married,28,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,1317,Female,Research Director,Married,50,Bachelor's Degree,1
35 - 44,Sales,Marketing,1318,Male,Sales Executive,Single,40,Master's Degree,1
45 - 54,Sales,Life Sciences,1319,Male,Sales Executive,Single,52,Bachelor's Degree,1
25 - 34,R&D,Medical,1321,Female,Manager,Married,30,Master's Degree,1
35 - 44,R&D,Life Sciences,1322,Male,Manufacturing Director,Single,39,Associates Degree,1
25 - 34,Sales,Life Sciences,1324,Female,Sales Executive,Divorced,31,Master's Degree,1
35 - 44,Sales,Medical,1329,Male,Sales Executive,Single,41,Associates Degree,1
25 - 34,Sales,Life Sciences,1331,Female,Sales Representative,Single,31,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1333,Male,Laboratory Technician,Married,44,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1334,Male,Manager,Married,42,High School,1
Over 55,R&D,Medical,1336,Female,Manager,Married,55,Associates Degree,1
Over 55,HR,Life Sciences,1338,Male,Manager,Single,56,Master's Degree,1
35 - 44,R&D,Life Sciences,1340,Male,Research Scientist,Divorced,40,Associates Degree,1
25 - 34,R&D,Life Sciences,1344,Male,Healthcare Representative,Divorced,34,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1346,Male,Research Scientist,Single,40,Bachelor's Degree,1
35 - 44,Sales,Marketing,1349,Female,Sales Executive,Divorced,41,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,1350,Male,Research Scientist,Single,35,Master's Degree,1
45 - 54,HR,Life Sciences,1352,Male,Manager,Divorced,51,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,1355,Female,Sales Executive,Divorced,38,Associates Degree,1
25 - 34,Sales,Medical,1356,Female,Sales Executive,Single,34,Associates Degree,1
25 - 34,R&D,Medical,1358,Male,Laboratory Technician,Married,25,High School,1
