Attrition,CF_attrition label,Employee Number,Gender,Job Role,Marital Status,Monthly Income,Performance Rating,Years Since Last Promotion,Years With Curr Manager
No,Current Employees,1150,Male,Manufacturing Director,Married,5056,3,1,2
No,Current Employees,1152,Male,Human Resources,Married,2844,3,5,0
No,Current Employees,1154,Male,Research Scientist,Divorced,2703,3,0,2
Yes,Ex-Employees,1156,Male,Laboratory Technician,Single,1904,3,0,0
Yes,Ex-Employees,1157,Female,Sales Executive,Single,8224,3,0,3
No,Current Employees,1158,Male,Laboratory Technician,Married,4766,3,0,0
Yes,Ex-Employees,1160,Male,Laboratory Technician,Married,2610,3,2,2
No,Current Employees,1161,Female,Healthcare Representative,Divorced,5731,3,1,3
No,Current Employees,1162,Male,Research Scientist,Married,2539,3,2,2
No,Current Employees,1163,Female,Sales Executive,Married,5714,4,1,3
No,Current Employees,1164,Male,Human Resources,Single,4323,3,1,4
Yes,Ex-Employees,1165,Female,Sales Executive,Married,7336,3,3,10
No,Current Employees,1166,Female,Research Director,Single,13499,3,2,13
Yes,Ex-Employees,1167,Male,Sales Executive,Single,13758,3,13,14
No,Current Employees,1171,Male,Sales Executive,Single,5155,3,1,5
No,Current Employees,1172,Male,Laboratory Technician,Married,2258,3,1,7
No,Current Employees,1173,Male,Laboratory Technician,Single,3597,4,1,2
Yes,Ex-Employees,1175,Female,Laboratory Technician,Married,2515,3,0,0
No,Current Employees,1177,Male,Laboratory Technician,Married,4420,4,0,7
No,Current Employees,1179,Male,Sales Executive,Married,6578,3,1,4
No,Current Employees,1180,Female,Research Scientist,Married,4422,3,0,0
No,Current Employees,1182,Male,Manufacturing Director,Divorced,10274,3,6,4
No,Current Employees,1184,Male,Healthcare Representative,Single,5343,4,4,9
No,Current Employees,1185,Male,Laboratory Technician,Married,2376,3,2,2
Yes,Ex-Employees,1188,Female,Sales Executive,Single,5346,3,1,3
No,Current Employees,1190,Female,Sales Representative,Divorced,2827,3,0,0
No,Current Employees,1191,Female,Manager,Divorced,19943,3,4,2
No,Current Employees,1192,Female,Laboratory Technician,Married,3131,3,0,8
No,Current Employees,1193,Male,Research Scientist,Single,2552,4,0,0
No,Current Employees,1195,Female,Research Scientist,Married,4477,3,0,2
No,Current Employees,1196,Female,Manufacturing Director,Married,6474,3,3,11
No,Current Employees,1198,Male,Laboratory Technician,Single,3033,3,1,2
Yes,Ex-Employees,1200,Male,Research Scientist,Single,2936,3,0,2
No,Current Employees,1201,Female,Manager,Divorced,18606,3,4,7
No,Current Employees,1202,Female,Research Scientist,Married,2168,3,1,3
Yes,Ex-Employees,1203,Male,Research Scientist,Married,2853,3,0,0
No,Current Employees,1204,Female,Manager,Married,17048,4,15,9
No,Current Employees,1206,Male,Research Scientist,Single,2290,3,0,0
No,Current Employees,1207,Male,Human Resources,Married,3600,3,1,4
Yes,Ex-Employees,1210,Male,Research Scientist,Divorced,2107,3,0,0
No,Current Employees,1211,Male,Sales Executive,Divorced,4115,3,0,3
No,Current Employees,1212,Male,Sales Executive,Married,4327,3,0,0
No,Current Employees,1215,Female,Manager,Married,17856,4,2,2
No,Current Employees,1216,Male,Laboratory Technician,Married,3196,3,3,3
No,Current Employees,1217,Male,Research Director,Married,19081,3,0,3
No,Current Employees,1218,Male,Sales Executive,Married,8966,3,1,7
Yes,Ex-Employees,1219,Female,Laboratory Technician,Married,2210,3,0,0
No,Current Employees,1220,Female,Sales Executive,Married,4539,3,0,1
No,Current Employees,1221,Male,Laboratory Technician,Divorced,2741,3,1,7
No,Current Employees,1224,Male,Laboratory Technician,Divorced,3491,3,8,9
No,Current Employees,1225,Male,Research Scientist,Single,4541,4,13,17
No,Current Employees,1226,Male,Sales Representative,Single,2678,3,2,2
No,Current Employees,1228,Male,Manufacturing Director,Divorced,7379,3,1,4
No,Current Employees,1231,Male,Human Resources,Married,6272,3,0,3
No,Current Employees,1233,Male,Sales Executive,Divorced,5220,3,1,9
No,Current Employees,1234,Female,Laboratory Technician,Married,2743,4,2,2
No,Current Employees,1235,Female,Research Scientist,Single,4998,3,0,7
No,Current Employees,1237,Female,Manufacturing Director,Divorced,10252,4,7,7
No,Current Employees,1238,Male,Research Scientist,Married,2781,3,4,10
No,Current Employees,1239,Female,Sales Executive,Divorced,6852,3,1,3
No,Current Employees,1240,Male,Sales Executive,Single,4950,3,1,1
No,Current Employees,1241,Male,Research Scientist,Married,3579,4,5,7
No,Current Employees,1242,Female,Research Director,Married,13191,3,0,0
No,Current Employees,1243,Female,Sales Executive,Married,10377,3,4,12
No,Current Employees,1244,Male,Research Scientist,Married,2235,3,6,8
No,Current Employees,1245,Female,Manufacturing Director,Divorced,10502,3,1,4
No,Current Employees,1246,Female,Research Scientist,Married,2011,3,7,7
Yes,Ex-Employees,1248,Female,Research Scientist,Single,1859,4,0,0
No,Current Employees,1249,Female,Research Scientist,Divorced,3760,3,1,2
No,Current Employees,1250,Male,Research Director,Married,17779,3,0,9
No,Current Employees,1251,Male,Healthcare Representative,Married,6833,3,0,1
No,Current Employees,1252,Female,Healthcare Representative,Single,6812,3,1,8
No,Current Employees,1254,Female,Sales Executive,Single,5171,3,0,5
No,Current Employees,1255,Male,Research Director,Married,19740,3,0,7
No,Current Employees,1256,Male,Manager,Married,18711,3,0,0
No,Current Employees,1257,Male,Research Scientist,Married,3692,3,0,7
No,Current Employees,1258,Male,Laboratory Technician,Single,2559,3,0,0
No,Current Employees,1259,Male,Research Scientist,Divorced,2517,3,0,3
No,Current Employees,1260,Male,Healthcare Representative,Divorced,6623,3,1,0
No,Current Employees,1263,Male,Research Director,Single,18265,3,0,0
No,Current Employees,1264,Female,Research Director,Divorced,16124,3,1,7
No,Current Employees,1265,Female,Research Scientist,Married,2585,3,0,0
No,Current Employees,1267,Male,Manager,Married,18213,3,3,10
No,Current Employees,1268,Male,Sales Executive,Divorced,8380,3,0,8
No,Current Employees,1269,Female,Research Scientist,Single,2994,3,0,1
No,Current Employees,1270,Male,Research Scientist,Married,1223,4,0,1
Yes,Ex-Employees,1273,Male,Sales Representative,Single,1118,3,1,0
No,Current Employees,1275,Male,Research Scientist,Single,2875,4,2,2
Yes,Ex-Employees,1277,Female,Manager,Single,18824,3,1,11
No,Current Employees,1278,Male,Healthcare Representative,Divorced,13577,3,15,0
Yes,Ex-Employees,1279,Female,Laboratory Technician,Single,2625,4,2,2
No,Current Employees,1280,Female,Manager,Married,18789,3,0,8
No,Current Employees,1281,Female,Sales Executive,Single,4538,3,0,2
No,Current Employees,1282,Male,Manager,Divorced,19847,4,11,10
No,Current Employees,1283,Male,Manufacturing Director,Single,10512,3,5,4
No,Current Employees,1285,Female,Laboratory Technician,Divorced,4444,3,5,10
No,Current Employees,1286,Male,Laboratory Technician,Single,2154,3,0,2
No,Current Employees,1288,Male,Manager,Divorced,19190,3,14,13
No,Current Employees,1289,Male,Human Resources,Married,4490,3,1,8
No,Current Employees,1291,Male,Research Scientist,Married,3506,3,2,2
No,Current Employees,1292,Female,Research Scientist,Married,2372,3,0,0
No,Current Employees,1293,Female,Sales Executive,Single,10231,3,15,17
No,Current Employees,1294,Female,Manufacturing Director,Single,5410,3,5,12
Yes,Ex-Employees,1295,Female,Healthcare Representative,Married,7978,3,0,5
No,Current Employees,1296,Male,Laboratory Technician,Married,3867,3,2,2
No,Current Employees,1297,Female,Laboratory Technician,Single,2838,3,7,7
No,Current Employees,1298,Female,Manufacturing Director,Single,4695,3,1,7
Yes,Ex-Employees,1299,Female,Laboratory Technician,Divorced,3339,3,7,7
No,Current Employees,1301,Male,Research Scientist,Single,2080,3,1,2
No,Current Employees,1303,Female,Research Scientist,Single,2096,3,2,1
No,Current Employees,1304,Male,Sales Executive,Married,6209,3,0,8
No,Current Employees,1306,Female,Manager,Single,18061,4,0,0
No,Current Employees,1307,Female,Manager,Divorced,17123,3,15,2
No,Current Employees,1308,Male,Research Scientist,Divorced,2372,3,2,2
Yes,Ex-Employees,1309,Male,Laboratory Technician,Married,4883,3,1,1
Yes,Ex-Employees,1310,Male,Research Scientist,Single,3904,3,0,3
No,Current Employees,1311,Female,Laboratory Technician,Married,4627,3,6,7
No,Current Employees,1312,Female,Healthcare Representative,Married,7094,3,1,7
No,Current Employees,1314,Female,Human Resources,Single,3423,3,5,7
No,Current Employees,1315,Female,Laboratory Technician,Married,6674,3,7,5
No,Current Employees,1317,Female,Research Director,Married,16880,3,1,2
Yes,Ex-Employees,1318,Male,Sales Executive,Single,9094,3,1,0
Yes,Ex-Employees,1319,Male,Sales Executive,Single,8446,3,7,7
No,Current Employees,1321,Female,Manager,Married,11916,4,0,8
No,Current Employees,1322,Male,Manufacturing Director,Single,4534,3,1,7
No,Current Employees,1324,Female,Sales Executive,Divorced,9852,3,9,6
No,Current Employees,1329,Male,Sales Executive,Single,6151,3,11,9
Yes,Ex-Employees,1331,Female,Sales Representative,Single,2302,3,2,2
Yes,Ex-Employees,1333,Male,Laboratory Technician,Married,2362,3,1,2
No,Current Employees,1334,Male,Manager,Married,17861,3,2,10
No,Current Employees,1336,Female,Manager,Married,19187,3,9,11
No,Current Employees,1338,Male,Manager,Single,19717,3,7,7
No,Current Employees,1340,Male,Research Scientist,Divorced,3544,3,0,0
No,Current Employees,1344,Male,Healthcare Representative,Divorced,8500,3,1,6
No,Current Employees,1346,Male,Research Scientist,Single,4661,3,8,8
No,Current Employees,1349,Female,Sales Executive,Divorced,4103,3,1,7
No,Current Employees,1350,Male,Research Scientist,Single,4249,3,1,1
No,Current Employees,1352,Male,Manager,Divorced,14026,3,0,10
No,Current Employees,1355,Female,Sales Executive,Divorced,6893,3,1,7
No,Current Employees,1356,Female,Sales Executive,Single,6125,3,9,6
No,Current Employees,1358,Male,Laboratory Technician,Married,3669,3,1,2
Yes,Ex-Employees,1360,Female,Manufacturing Director,Married,10008,3,5,9
No,Current Employees,1361,Male,Laboratory Technician,Married,2387,4,0,3
No,Current Employees,1362,Female,Sales Executive,Married,4639,3,6,13
No,Current Employees,1363,Male,Manufacturing Director,Single,7898,3,0,8
No,Current Employees,1364,Female,Sales Representative,Married,2534,3,0,0
No,Current Employees,1367,Female,Manufacturing Director,Single,13142,3,0,3
No,Current Employees,1368,Female,Laboratory Technician,Single,1611,3,0,0
No,Current Employees,1369,Female,Laboratory Technician,Married,5363,3,0,0
No,Current Employees,1371,Male,Sales Executive,Single,5071,4,0,0
Yes,Ex-Employees,1372,Male,Sales Executive,Single,13695,3,3,8
No,Current Employees,1373,Male,Manufacturing Director,Married,13402,3,15,9
No,Current Employees,1374,Female,Research Scientist,Divorced,2029,4,0,0
No,Current Employees,1375,Female,Healthcare Representative,Divorced,6377,4,11,8
No,Current Employees,1377,Male,Laboratory Technician,Married,5429,3,7,7
Yes,Ex-Employees,1379,Female,Sales Representative,Single,2785,3,0,0
Yes,Ex-Employees,1380,Female,Sales Executive,Married,4614,3,3,2
No,Current Employees,1382,Male,Research Scientist,Divorced,2610,3,0,3
No,Current Employees,1383,Female,Healthcare Representative,Single,6687,3,4,11
No,Current Employees,1387,Male,Sales Executive,Married,4724,3,0,4
Yes,Ex-Employees,1389,Male,Manufacturing Director,Married,6179,3,6,7
No,Current Employees,1390,Male,Sales Executive,Married,6120,3,1,4
No,Current Employees,1391,Male,Sales Executive,Married,10596,3,3,2
No,Current Employees,1392,Female,Research Scientist,Divorced,5467,3,3,3
No,Current Employees,1394,Male,Research Scientist,Married,2996,3,1,3
No,Current Employees,1395,Male,Sales Executive,Married,9998,3,1,2
No,Current Employees,1396,Male,Sales Executive,Married,4078,3,1,2
No,Current Employees,1397,Male,Healthcare Representative,Married,10920,4,0,5
No,Current Employees,1399,Male,Sales Executive,Married,6232,3,1,2
No,Current Employees,1401,Female,Manufacturing Director,Married,13247,3,0,2
No,Current Employees,1402,Female,Research Scientist,Single,4081,3,1,8
No,Current Employees,1403,Female,Sales Executive,Married,5769,3,4,4
Yes,Ex-Employees,1405,Female,Research Scientist,Single,2394,3,7,7
No,Current Employees,1407,Male,Research Scientist,Single,3904,3,1,1
No,Current Employees,1408,Female,Manager,Married,16799,3,0,9
No,Current Employees,1955,Female,Healthcare Representative,Divorced,6667,3,1,2
No,Current Employees,1662,Female,Manufacturing Director,Married,4374,3,1,2
No,Current Employees,1630,Female,Healthcare Representative,Married,4148,3,2,9
No,Current Employees,2000,Female,Research Director,Married,11957,3,5,12
No,Current Employees,1839,Female,Research Scientist,Single,1514,3,0,0
No,Current Employees,1929,Female,Sales Executive,Married,5736,3,1,2
No,Current Employees,1495,Female,Sales Representative,Married,2033,3,0,0
No,Current Employees,1756,Female,Sales Executive,Single,5147,3,1,7
No,Current Employees,1900,Female,Manager,Divorced,17174,3,4,7
No,Current Employees,2025,Female,Manufacturing Director,Divorced,5131,3,0,2
No,Current Employees,1760,Female,Laboratory Technician,Married,2468,3,0,5
No,Current Employees,1870,Female,Research Scientist,Married,4774,3,7,3
No,Current Employees,1985,Female,Laboratory Technician,Married,6323,3,9,4
No,Current Employees,1513,Female,Laboratory Technician,Married,3180,3,0,2
No,Current Employees,1633,Female,Manufacturing Director,Single,5042,3,3,8
No,Current Employees,1480,Female,Laboratory Technician,Single,3673,3,5,8
No,Current Employees,1745,Female,Research Scientist,Single,4968,3,0,7
No,Current Employees,1481,Female,Sales Executive,Married,4768,3,0,0
No,Current Employees,1833,Female,Sales Executive,Married,9637,3,2,2
No,Current Employees,1987,Female,Human Resources,Married,2187,3,1,2
No,Current Employees,1625,Female,Manager,Married,19658,3,1,0
No,Current Employees,1461,Female,Human Resources,Single,2109,3,0,2
No,Current Employees,1916,Female,Laboratory Technician,Divorced,3978,3,2,2
No,Current Employees,1829,Female,Healthcare Representative,Divorced,4448,3,7,7
No,Current Employees,1822,Female,Healthcare Representative,Divorced,6513,3,0,3
No,Current Employees,1762,Female,Research Scientist,Divorced,2109,3,0,0
No,Current Employees,1658,Female,Research Scientist,Divorced,5433,3,7,9
No,Current Employees,1635,Female,Manufacturing Director,Divorced,5770,3,3,9
No,Current Employees,1656,Female,Research Director,Divorced,13269,3,1,11
No,Current Employees,1502,Female,Laboratory Technician,Married,3838,3,0,2
No,Current Employees,1866,Female,Manager,Married,19392,3,6,14
No,Current Employees,1786,Female,Manager,Married,13116,3,2,2
No,Current Employees,1701,Female,Research Scientist,Married,2929,3,8,7
No,Current Employees,1647,Female,Research Scientist,Married,3517,3,0,2
No,Current Employees,1409,Female,Laboratory Technician,Married,2950,3,0,4
No,Current Employees,2015,Female,Research Director,Married,13206,3,1,11
No,Current Employees,1640,Female,Research Scientist,Married,3936,3,7,7
No,Current Employees,1544,Female,Healthcare Representative,Married,9715,3,0,7
No,Current Employees,2052,Female,Research Scientist,Married,2977,3,1,1
No,Current Employees,1802,Female,Laboratory Technician,Married,3377,3,0,2
No,Current Employees,1617,Female,Laboratory Technician,Married,3211,3,1,4
No,Current Employees,1576,Female,Research Scientist,Married,2367,3,7,6
No,Current Employees,1447,Female,Laboratory Technician,Married,3294,3,0,2
No,Current Employees,1555,Female,Research Scientist,Married,5878,3,2,5
No,Current Employees,1782,Female,Laboratory Technician,Married,3702,3,0,4
No,Current Employees,1687,Female,Laboratory Technician,Married,3306,3,0,0
No,Current Employees,1709,Female,Laboratory Technician,Married,2974,3,1,2
No,Current Employees,1830,Female,Research Scientist,Married,6854,3,1,7
No,Current Employees,1628,Female,Manufacturing Director,Married,10435,3,14,12
No,Current Employees,1655,Female,Research Director,Married,16413,3,1,2
No,Current Employees,1969,Female,Research Scientist,Married,2897,3,2,3
No,Current Employees,1443,Female,Research Director,Married,17169,3,5,6
No,Current Employees,1888,Female,Manufacturing Director,Married,5906,3,3,8
No,Current Employees,1651,Female,Healthcare Representative,Married,8008,3,0,2
No,Current Employees,1607,Female,Research Scientist,Married,3312,3,0,2
No,Current Employees,2051,Female,Research Scientist,Married,2001,3,0,2
No,Current Employees,1430,Female,Research Director,Single,16422,3,1,0
No,Current Employees,1411,Female,Laboratory Technician,Single,3629,3,0,2
No,Current Employees,1816,Female,Manufacturing Director,Single,9667,3,0,2
No,Current Employees,1525,Female,Manufacturing Director,Single,8376,3,2,2
No,Current Employees,1856,Female,Laboratory Technician,Single,2105,3,2,0
No,Current Employees,2010,Female,Laboratory Technician,Single,2837,3,4,1
No,Current Employees,1735,Female,Laboratory Technician,Single,3295,3,1,2
No,Current Employees,1751,Female,Research Scientist,Single,3445,3,1,4
No,Current Employees,2054,Female,Research Scientist,Single,3785,3,0,4
No,Current Employees,1529,Female,Healthcare Representative,Single,8606,3,3,3
No,Current Employees,1719,Female,Research Director,Single,16704,3,8,6
No,Current Employees,1422,Female,Research Director,Single,17328,3,12,7
No,Current Employees,1863,Female,Sales Executive,Divorced,13225,3,2,8
No,Current Employees,1557,Female,Sales Executive,Divorced,6439,3,7,7
No,Current Employees,1428,Female,Sales Executive,Divorced,4779,3,0,2
No,Current Employees,1676,Female,Manager,Divorced,15972,3,1,2
No,Current Employees,2041,Female,Sales Executive,Married,5343,3,1,9
No,Current Employees,2045,Female,Sales Executive,Married,6652,3,0,0
No,Current Employees,2056,Female,Sales Executive,Married,12031,3,9,6
No,Current Employees,1986,Female,Sales Executive,Married,5677,3,5,10
No,Current Employees,1875,Female,Sales Representative,Married,2856,3,0,0
No,Current Employees,1527,Female,Manager,Married,16606,3,5,1
No,Current Employees,1935,Female,Sales Executive,Married,5380,3,0,0
No,Current Employees,1598,Female,Sales Executive,Married,4639,3,1,2
No,Current Employees,1784,Female,Sales Executive,Married,5468,3,5,7
No,Current Employees,2024,Female,Sales Executive,Married,7644,3,3,4
No,Current Employees,1673,Female,Sales Executive,Married,5476,3,0,2
No,Current Employees,1436,Female,Sales Executive,Married,5647,3,0,2
No,Current Employees,2016,Female,Sales Executive,Married,10422,3,5,7
No,Current Employees,1898,Female,Sales Executive,Single,6500,3,0,7
No,Current Employees,1583,Female,Sales Executive,Single,4198,3,1,2
No,Current Employees,1585,Female,Sales Executive,Single,6815,3,0,0
No,Current Employees,1657,Female,Sales Representative,Single,2783,3,2,2
No,Current Employees,1710,Female,Sales Representative,Single,4502,3,6,7
No,Current Employees,1779,Female,Sales Executive,Single,6029,3,2,2
No,Current Employees,2060,Female,Sales Representative,Single,2966,3,0,0
No,Current Employees,2046,Female,Sales Executive,Single,4850,3,0,1
No,Current Employees,1757,Female,Sales Executive,Single,4507,3,0,4
No,Current Employees,1858,Male,Human Resources,Divorced,2706,3,2,2
No,Current Employees,1805,Male,Human Resources,Divorced,2592,3,3,8
No,Current Employees,1722,Male,Human Resources,Married,6430,3,1,2
No,Current Employees,1804,Male,Manufacturing Director,Divorced,5762,3,1,7
No,Current Employees,1468,Male,Research Director,Divorced,13757,3,4,8
No,Current Employees,1482,Male,Research Scientist,Divorced,1274,3,0,0
No,Current Employees,1449,Male,Laboratory Technician,Divorced,3975,3,0,7
No,Current Employees,1771,Male,Research Scientist,Divorced,3055,3,1,7
No,Current Employees,1994,Male,Laboratory Technician,Divorced,2008,3,0,0
No,Current Employees,1934,Male,Research Scientist,Married,5467,3,1,7
No,Current Employees,1574,Male,Research Scientist,Married,4087,3,1,2
No,Current Employees,1813,Male,Research Scientist,Single,2438,3,1,2
No,Current Employees,2057,Male,Manufacturing Director,Single,9936,3,1,7
No,Current Employees,1764,Male,Research Scientist,Single,2718,3,0,7
No,Current Employees,1471,Male,Laboratory Technician,Single,3162,3,0,3
No,Current Employees,1947,Male,Research Scientist,Single,2144,3,1,4
No,Current Employees,1440,Male,Laboratory Technician,Single,3500,3,1,3
No,Current Employees,1976,Male,Research Scientist,Single,4332,3,3,7
No,Current Employees,2022,Male,Manager,Single,19431,3,1,3
No,Current Employees,2019,Male,Sales Representative,Divorced,3482,3,0,0
No,Current Employees,1612,Male,Sales Executive,Married,4385,3,4,5
No,Current Employees,1731,Male,Sales Executive,Married,4978,3,0,0
No,Current Employees,1801,Male,Sales Executive,Single,7991,3,2,2
No,Current Employees,1563,Male,Human Resources,Married,6077,3,1,2
No,Current Employees,1746,Male,Human Resources,Married,2145,3,2,1
No,Current Employees,1590,Male,Healthcare Representative,Divorced,8853,3,1,3
No,Current Employees,1615,Male,Manufacturing Director,Divorced,4724,3,7,2
No,Current Employees,1485,Male,Research Director,Divorced,17007,3,6,9
No,Current Employees,1431,Male,Research Scientist,Divorced,2996,3,1,3
No,Current Employees,1653,Male,Manufacturing Director,Divorced,5206,3,0,7
No,Current Employees,1941,Male,Research Director,Married,19161,3,4,3
No,Current Employees,1852,Male,Laboratory Technician,Married,3812,3,3,10
No,Current Employees,1997,Male,Manufacturing Director,Married,5321,3,7,7
No,Current Employees,1720,Male,Research Scientist,Married,3433,3,1,3
No,Current Employees,1918,Male,Laboratory Technician,Married,2544,3,7,7
No,Current Employees,2061,Male,Laboratory Technician,Married,2571,3,0,3
No,Current Employees,1597,Male,Healthcare Representative,Married,5063,3,7,7
No,Current Employees,1668,Male,Research Scientist,Married,4735,3,2,9
No,Current Employees,1922,Male,Healthcare Representative,Single,5399,3,0,3
No,Current Employees,1412,Male,Manufacturing Director,Single,9362,3,2,2
No,Current Employees,1648,Male,Research Scientist,Single,2580,3,1,2
No,Current Employees,1812,Male,Sales Executive,Divorced,4127,3,2,2
No,Current Employees,1700,Male,Sales Executive,Divorced,9525,3,1,3
No,Current Employees,2065,Male,Sales Executive,Married,5390,3,0,8
No,Current Employees,1477,Male,Sales Executive,Married,4373,3,0,3
No,Current Employees,1507,Male,Sales Executive,Single,4898,3,1,3
No,Current Employees,1613,Male,Sales Executive,Single,5332,3,0,3
No,Current Employees,1853,Male,Sales Executive,Single,4648,3,0,0
No,Current Employees,1794,Male,Human Resources,Divorced,4071,3,4,7
No,Current Employees,1865,Male,Human Resources,Married,2804,3,0,0
No,Current Employees,1419,Male,Human Resources,Single,7988,3,0,9
No,Current Employees,1778,Male,Human Resources,Single,3539,3,1,8
No,Current Employees,1694,Male,Research Scientist,Divorced,3537,3,1,2
No,Current Employees,1506,Male,Research Scientist,Divorced,1563,3,0,0
No,Current Employees,1892,Male,Manager,Divorced,16823,3,11,16
No,Current Employees,1881,Male,Laboratory Technician,Divorced,4197,3,0,2
No,Current Employees,1627,Male,Laboratory Technician,Divorced,3069,3,0,7
No,Current Employees,1474,Male,Research Scientist,Divorced,2345,3,1,2
No,Current Employees,1857,Male,Manufacturing Director,Divorced,8578,3,4,7
No,Current Employees,1599,Male,Laboratory Technician,Divorced,4876,3,0,2
No,Current Employees,1940,Male,Research Scientist,Divorced,4771,3,0,3
No,Current Employees,1424,Male,Research Director,Divorced,14732,3,0,0
No,Current Employees,1484,Male,Healthcare Representative,Divorced,10466,3,0,7
No,Current Employees,1859,Male,Healthcare Representative,Divorced,6384,3,1,6
No,Current Employees,1619,Male,Laboratory Technician,Divorced,4066,3,0,7
No,Current Employees,1671,Male,Research Scientist,Divorced,5470,3,1,6
No,Current Employees,1553,Male,Healthcare Representative,Divorced,7441,3,7,7
No,Current Employees,1725,Male,Laboratory Technician,Divorced,3907,3,1,2
No,Current Employees,1551,Male,Laboratory Technician,Divorced,2296,3,0,0
No,Current Employees,1871,Male,Research Scientist,Divorced,3902,3,2,2
No,Current Employees,2031,Male,Manager,Married,18880,3,4,14
No,Current Employees,1543,Male,Research Scientist,Married,4285,3,3,7
No,Current Employees,1434,Male,Laboratory Technician,Married,2099,3,1,4
No,Current Employees,1621,Male,Research Scientist,Married,5208,3,1,10
No,Current Employees,2068,Male,Laboratory Technician,Married,4404,3,1,2
No,Current Employees,1689,Male,Healthcare Representative,Married,7005,3,1,2
No,Current Employees,1867,Male,Research Director,Married,19665,3,12,9
No,Current Employees,1989,Male,Laboratory Technician,Married,3748,3,1,7
No,Current Employees,1954,Male,Healthcare Representative,Married,5373,3,0,2
No,Current Employees,1473,Male,Healthcare Representative,Married,6651,3,1,2
No,Current Employees,1971,Male,Healthcare Representative,Married,7510,3,0,9
No,Current Employees,1415,Male,Laboratory Technician,Married,3229,3,0,2
No,Current Employees,1438,Male,Research Scientist,Married,3420,3,1,2
No,Current Employees,1826,Male,Laboratory Technician,Married,2705,3,0,3
No,Current Employees,1609,Male,Research Scientist,Married,2141,3,1,1
No,Current Employees,1696,Male,Laboratory Technician,Married,3986,3,4,13
No,Current Employees,1931,Male,Research Scientist,Married,2226,3,1,2
No,Current Employees,1721,Male,Laboratory Technician,Married,3477,3,0,3
No,Current Employees,1729,Male,Research Scientist,Married,2862,3,0,8
No,Current Employees,1580,Male,Research Scientist,Married,5484,3,2,1
No,Current Employees,1903,Male,Healthcare Representative,Married,5033,3,2,2
No,Current Employees,1542,Male,Laboratory Technician,Married,4841,3,0,0
No,Current Employees,1601,Male,Laboratory Technician,Married,2690,3,0,1
No,Current Employees,1911,Male,Research Director,Married,13348,3,5,7
No,Current Employees,1799,Male,Research Scientist,Married,2044,3,0,3
No,Current Employees,1763,Male,Healthcare Representative,Married,5294,3,1,7
No,Current Employees,1707,Male,Research Scientist,Married,4401,3,0,4
No,Current Employees,2062,Male,Healthcare Representative,Married,9991,3,1,7
No,Current Employees,1523,Male,Research Director,Married,16328,3,14,17
No,Current Employees,1728,Male,Manufacturing Director,Married,6883,3,0,7
No,Current Employees,1798,Male,Research Scientist,Married,3143,3,7,6
No,Current Employees,1592,Male,Research Scientist,Married,2073,3,2,2
No,Current Employees,1682,Male,Healthcare Representative,Married,5347,3,0,2
No,Current Employees,2012,Male,Laboratory Technician,Married,2406,3,0,0
No,Current Employees,1803,Male,Healthcare Representative,Married,5538,3,0,0
No,Current Employees,1596,Male,Laboratory Technician,Married,3407,3,6,8
No,Current Employees,1514,Male,Manufacturing Director,Married,6549,3,1,7
No,Current Employees,1558,Male,Research Scientist,Married,2451,3,0,0
No,Current Employees,1618,Male,Manufacturing Director,Married,5377,3,7,7
No,Current Employees,1698,Male,Laboratory Technician,Married,2028,3,2,13
No,Current Employees,1770,Male,Research Director,Married,19038,3,0,0
No,Current Employees,1631,Male,Manufacturing Director,Married,5768,3,0,2
No,Current Employees,1718,Male,Laboratory Technician,Married,2305,3,0,2
No,Current Employees,1435,Male,Laboratory Technician,Single,5810,3,1,8
No,Current Employees,1659,Male,Laboratory Technician,Single,2013,3,1,3
No,Current Employees,1533,Male,Laboratory Technician,Single,2272,3,1,2
No,Current Employees,1577,Male,Research Scientist,Single,2972,3,0,0
No,Current Employees,2014,Male,Research Scientist,Single,4108,3,1,7
No,Current Employees,1981,Male,Healthcare Representative,Single,4617,3,1,2
No,Current Employees,2008,Male,Research Scientist,Single,5098,3,0,8
No,Current Employees,1814,Male,Healthcare Representative,Single,6870,3,1,2
No,Current Employees,2048,Male,Research Scientist,Single,2809,3,2,2
No,Current Employees,1952,Male,Laboratory Technician,Single,2867,3,7,6
No,Current Employees,1727,Male,Healthcare Representative,Single,5562,3,0,9
No,Current Employees,1677,Male,Manager,Single,15379,3,0,0
No,Current Employees,1623,Male,Research Scientist,Single,3117,3,2,2
No,Current Employees,1417,Male,Laboratory Technician,Single,3578,3,0,7
No,Current Employees,1564,Male,Laboratory Technician,Single,2450,3,1,2
No,Current Employees,1545,Male,Manufacturing Director,Single,4320,3,0,2
No,Current Employees,1883,Male,Laboratory Technician,Single,2062,3,1,2
No,Current Employees,2038,Male,Research Scientist,Single,2439,3,1,2
No,Current Employees,1475,Male,Research Scientist,Single,3420,3,1,3
No,Current Employees,1860,Male,Laboratory Technician,Single,3968,3,0,0
No,Current Employees,2007,Male,Research Scientist,Single,3375,3,1,2
No,Current Employees,1982,Male,Laboratory Technician,Single,2647,3,1,4
No,Current Employees,1472,Male,Research Director,Single,16598,3,8,8
No,Current Employees,1453,Male,Sales Executive,Divorced,10793,3,9,9
No,Current Employees,1754,Male,Sales Executive,Divorced,7140,3,1,7
No,Current Employees,2037,Male,Sales Executive,Divorced,8938,3,0,4
