Employee_Number,Age,CF_age_band,Department,Education,Education_Field,Employee_Count,Gender,Job_Role,Marital_Status,Attrition,CF_attrition_label,Monthly_Income,Performance_Rating,Years_Since_Last_Promotion,Years_With_Curr_Manager,Environment_Satisfaction,Job_Involvement,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Monthly_Rate,Total_Working_Years,Years_At_Company,Years_In_Current_Role
1039,44,35 - 44,Sales,Bachelor's Degree,Medical,1,Female,Sales Executive,Married,0,Current Employees,13320,3,11,11,4,4,4,3,3,11737,23,12,11
1040,50,45 - 54,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,6347,3,0,13,4,3,3,1,3,24920,19,18,7
1042,36,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Laboratory Technician,Single,1,Ex-Employees,2743,3,15,14,3,4,1,3,3,8269,18,17,13
1043,39,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Manufacturing Director,Single,0,Current Employees,10880,3,2,8,4,3,1,3,3,5083,21,21,6
1044,33,25 - 34,Sales,High School,Life Sciences,1,Female,Sales Representative,Single,0,Current Employees,2342,3,2,2,2,2,4,4,2,21437,3,2,2
1045,45,45 - 54,Sales,Associates Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,17650,3,1,1,4,3,4,2,4,5404,26,9,3
1046,32,25 - 34,R&D,Master's Degree,Medical,1,Female,Laboratory Technician,Single,0,Current Employees,4025,3,7,7,4,3,3,2,3,11135,10,8,7
1047,34,25 - 34,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,9725,3,0,9,2,4,4,4,2,12278,16,15,1
1048,59,Over 55,Sales,Associates Degree,Technical Degree,1,Male,Manager,Married,0,Current Employees,11904,3,0,4,2,3,4,3,1,11038,14,6,4
1049,45,45 - 54,HR,Master's Degree,Medical,1,Male,Human Resources,Single,0,Current Employees,2177,3,0,4,2,3,2,1,3,8318,6,6,3
1050,53,45 - 54,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,7525,3,6,12,3,2,2,1,3,23537,30,15,7
1052,36,35 - 44,R&D,Bachelor's Degree,Other,1,Male,Laboratory Technician,Divorced,1,Ex-Employees,4834,3,0,0,1,3,3,2,2,7858,9,1,0
1053,26,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Married,1,Ex-Employees,2042,3,1,2,1,3,1,2,3,15346,6,3,2
1055,34,25 - 34,Sales,Master's Degree,Life Sciences,1,Female,Sales Representative,Married,0,Current Employees,2220,3,0,0,3,3,3,4,3,18410,1,1,1
1056,28,25 - 34,Sales,High School,Medical,1,Male,Sales Representative,Married,0,Current Employees,1052,4,0,0,4,3,2,2,3,23384,1,1,0
1060,38,35 - 44,R&D,Master's Degree,Other,1,Male,Research Scientist,Married,0,Current Employees,2821,3,2,2,3,3,3,1,3,2997,8,2,2
1061,50,45 - 54,R&D,Master's Degree,Medical,1,Male,Research Director,Married,0,Current Employees,19237,3,7,7,2,3,3,4,2,12853,29,8,1
1062,37,35 - 44,R&D,Bachelor's Degree,Other,1,Female,Healthcare Representative,Single,0,Current Employees,4107,3,0,1,4,3,2,1,2,13848,8,4,3
1066,40,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,8396,3,7,5,3,3,1,2,2,22217,8,7,7
1068,26,25 - 34,R&D,High School,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,2007,3,1,3,1,2,3,3,3,25265,5,5,3
1069,46,45 - 54,R&D,Master's Degree,Medical,1,Male,Research Director,Divorced,0,Current Employees,19627,3,2,2,4,3,4,4,3,21445,23,2,2
1070,54,45 - 54,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,10686,3,7,0,3,2,3,2,3,8392,13,9,4
1071,56,Over 55,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,2942,3,0,3,1,3,3,2,3,12154,18,5,4
1073,36,35 - 44,R&D,Doctoral Degree,Medical,1,Female,Manufacturing Director,Single,0,Current Employees,8858,3,7,8,4,2,4,2,2,15669,15,14,8
1074,55,Over 55,R&D,High School,Medical,1,Male,Manager,Single,0,Current Employees,16756,3,6,2,3,2,1,2,4,17323,31,9,7
1076,43,35 - 44,Sales,Bachelor's Degree,Medical,1,Male,Sales Executive,Divorced,0,Current Employees,10798,3,0,0,3,2,4,3,3,5268,18,1,0
1077,20,Under 25,Sales,Bachelor's Degree,Marketing,1,Female,Sales Representative,Single,1,Ex-Employees,2323,3,0,2,4,3,4,2,3,17205,2,2,2
1079,21,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Single,1,Ex-Employees,1416,3,1,0,3,2,1,1,2,17258,1,1,0
1080,46,45 - 54,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,4615,4,1,7,4,2,1,1,3,21029,19,16,13
1081,51,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Married,1,Ex-Employees,2461,3,2,7,1,3,3,3,4,10332,18,10,0
1082,28,25 - 34,R&D,Associates Degree,Technical Degree,1,Male,Healthcare Representative,Single,1,Ex-Employees,8722,3,1,9,2,2,1,1,2,12355,10,10,7
1083,26,25 - 34,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,3955,3,1,3,1,2,1,1,3,11141,6,5,3
1084,30,25 - 34,R&D,Bachelor's Degree,Other,1,Male,Manufacturing Director,Married,0,Current Employees,9957,3,0,2,3,3,1,3,2,9096,7,6,2
1085,41,35 - 44,R&D,Associates Degree,Technical Degree,1,Female,Research Scientist,Married,0,Current Employees,3376,3,0,8,2,4,3,3,3,18863,10,10,6
1088,38,35 - 44,R&D,High School,Life Sciences,1,Female,Healthcare Representative,Married,0,Current Employees,8823,3,1,9,3,2,3,1,2,24608,20,19,9
1092,40,35 - 44,R&D,Master's Degree,Technical Degree,1,Male,Healthcare Representative,Married,0,Current Employees,10322,4,11,1,1,3,4,4,3,26542,14,11,10
1094,27,25 - 34,R&D,Doctoral Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,4621,3,1,2,1,1,3,4,3,5869,3,3,2
1096,55,Over 55,R&D,High School,Life Sciences,1,Male,Manufacturing Director,Married,0,Current Employees,10976,3,1,2,4,3,2,2,3,15813,23,3,2
1097,28,25 - 34,R&D,Bachelor's Degree,Other,1,Female,Research Scientist,Single,0,Current Employees,3660,3,1,7,3,3,3,4,4,7909,10,8,7
1098,44,35 - 44,HR,Associates Degree,Medical,1,Male,Human Resources,Married,1,Ex-Employees,10482,3,3,6,2,2,1,4,3,2326,24,20,6
1099,33,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,0,Current Employees,7119,3,1,2,4,2,4,3,3,21214,9,3,2
1100,35,35 - 44,Sales,Bachelor's Degree,Technical Degree,1,Male,Sales Executive,Single,1,Ex-Employees,9582,4,4,7,4,3,1,1,3,10333,9,8,7
1101,33,25 - 34,R&D,Master's Degree,Medical,1,Female,Research Scientist,Single,1,Ex-Employees,4508,4,3,8,1,2,3,2,3,3129,14,13,7
1102,28,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,2207,3,2,2,1,3,3,4,2,22482,4,4,2
1103,34,25 - 34,R&D,High School,Life Sciences,1,Male,Healthcare Representative,Single,0,Current Employees,7756,3,0,4,1,3,4,3,2,22266,7,6,2
1105,37,35 - 44,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Divorced,0,Current Employees,6694,3,0,0,4,2,4,3,3,24223,8,1,0
1106,25,25 - 34,R&D,High School,Technical Degree,1,Male,Laboratory Technician,Married,1,Ex-Employees,3691,3,5,6,4,3,4,2,4,4605,7,7,7
1107,26,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Divorced,1,Ex-Employees,2377,4,0,0,1,3,3,3,2,19373,1,1,1
1108,33,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Single,1,Ex-Employees,2313,4,2,2,1,2,2,2,3,2993,5,2,2
1109,42,35 - 44,R&D,Associates Degree,Medical,1,Male,Manager,Married,0,Current Employees,17665,3,13,7,4,3,1,4,3,14399,23,22,6
1111,28,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Divorced,1,Ex-Employees,2596,3,0,0,1,2,2,1,3,7160,1,1,0
1113,50,45 - 54,Sales,Master's Degree,Other,1,Male,Sales Executive,Single,1,Ex-Employees,4728,3,0,0,4,3,3,4,3,17251,5,0,0
1114,33,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,4302,3,0,2,4,3,2,3,3,13401,4,3,2
1115,34,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2979,3,0,0,3,2,4,4,3,22478,6,0,0
1116,48,45 - 54,R&D,Master's Degree,Medical,1,Male,Manager,Single,0,Current Employees,16885,4,2,1,1,4,4,3,2,16154,27,5,4
1117,45,45 - 54,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,5593,3,4,12,2,2,3,4,3,17970,15,15,10
1118,52,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Healthcare Representative,Single,0,Current Employees,10445,3,4,0,2,3,2,4,3,15322,18,8,6
1119,38,35 - 44,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,8740,3,2,7,3,2,3,2,3,5569,9,8,7
1120,29,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,2514,4,1,7,3,3,4,1,3,26968,11,7,5
1121,28,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Manufacturing Director,Divorced,0,Current Employees,7655,3,1,7,4,3,2,2,2,8039,10,9,7
1124,46,45 - 54,Sales,High School,Marketing,1,Male,Manager,Married,0,Current Employees,17465,3,4,9,1,3,3,4,3,15596,23,12,9
1125,38,35 - 44,Sales,Associates Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,7351,3,0,0,4,3,2,3,3,20619,10,1,0
1126,43,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Manufacturing Director,Married,0,Current Employees,10820,3,0,1,3,3,1,3,3,11535,18,8,7
1127,39,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,1,Ex-Employees,12169,3,11,5,1,3,4,4,3,13547,21,18,7
1128,40,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Research Director,Single,0,Current Employees,19626,3,4,9,3,2,3,1,4,17544,21,20,7
1131,21,Under 25,R&D,High School,Technical Degree,1,Female,Research Scientist,Single,0,Current Employees,2070,3,2,2,4,2,2,3,4,25326,2,2,2
1132,39,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,0,Current Employees,6782,3,0,3,3,3,2,3,2,8770,9,5,4
1133,36,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,7779,4,0,9,1,3,4,1,3,23238,18,11,9
1135,31,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Representative,Married,0,Current Employees,2791,3,2,2,3,4,4,1,3,21981,3,2,2
1136,28,25 - 34,R&D,High School,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,3201,3,0,4,1,2,2,1,1,19911,6,5,3
1137,35,35 - 44,Sales,Associates Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,4968,3,0,2,4,3,4,4,3,18500,5,5,2
1138,49,45 - 54,Sales,Master's Degree,Technical Degree,1,Male,Sales Executive,Married,0,Current Employees,13120,3,2,3,4,2,2,2,3,11879,22,9,8
1140,34,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,4033,3,0,2,4,3,3,4,2,15834,5,3,2
1143,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,3291,3,1,1,4,3,2,4,2,17940,8,7,5
1148,42,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Single,0,Current Employees,4272,3,0,0,2,1,4,1,3,9558,16,1,0
1150,29,25 - 34,R&D,High School,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,5056,3,1,2,2,2,4,3,2,17689,10,10,7
1152,38,35 - 44,HR,Bachelor's Degree,Human Resources,1,Male,Human Resources,Married,0,Current Employees,2844,3,5,0,3,4,3,4,4,6004,7,7,6
1154,28,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2703,3,0,2,3,2,3,4,3,22088,3,3,1
1156,18,Under 25,R&D,High School,Medical,1,Male,Laboratory Technician,Single,1,Ex-Employees,1904,3,0,0,3,3,3,4,3,13556,0,0,0
1157,33,25 - 34,Sales,Master's Degree,Marketing,1,Female,Sales Executive,Single,1,Ex-Employees,8224,3,0,3,1,3,1,1,3,18385,6,5,2
1158,41,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,4766,3,0,0,2,3,4,1,3,9051,6,1,0
1160,31,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Married,1,Ex-Employees,2610,3,2,2,3,3,3,3,2,6233,2,2,2
1161,37,35 - 44,R&D,Associates Degree,Medical,1,Female,Healthcare Representative,Divorced,0,Current Employees,5731,3,1,3,3,2,4,3,3,17171,9,6,2
1162,27,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2539,3,2,2,4,2,3,3,3,7950,4,4,2
1163,34,25 - 34,Sales,High School,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,5714,4,1,3,2,3,3,1,2,5829,6,6,5
1164,35,35 - 44,HR,Master's Degree,Technical Degree,1,Male,Human Resources,Single,0,Current Employees,4323,3,1,4,3,3,3,2,1,7108,6,5,4
1165,29,25 - 34,Sales,High School,Life Sciences,1,Female,Sales Executive,Married,1,Ex-Employees,7336,3,3,10,4,2,1,1,1,11162,11,11,8
1166,40,35 - 44,R&D,Master's Degree,Medical,1,Female,Research Director,Single,0,Current Employees,13499,3,2,13,2,3,3,3,2,13782,20,18,7
1167,42,35 - 44,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Executive,Single,1,Ex-Employees,13758,3,13,14,3,3,1,2,2,2447,22,21,9
1171,42,35 - 44,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,5155,3,1,5,2,3,1,4,4,2253,9,6,4
1172,35,35 - 44,R&D,Master's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,2258,3,1,7,4,2,3,2,3,16340,10,8,0
1173,24,Under 25,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Single,0,Current Employees,3597,4,1,2,4,3,2,4,3,6409,6,4,3
1175,28,25 - 34,R&D,High School,Life Sciences,1,Female,Laboratory Technician,Married,1,Ex-Employees,2515,3,0,0,3,3,4,4,2,22955,1,1,1
1177,26,25 - 34,R&D,Master's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,4420,4,0,7,1,4,4,2,3,13421,8,8,7
1179,30,25 - 34,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,6578,3,1,4,3,2,3,1,3,2706,10,10,3
1180,40,35 - 44,R&D,Associates Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,4422,3,0,0,3,2,4,4,1,21203,16,1,1
1182,35,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Manufacturing Director,Divorced,0,Current Employees,10274,3,6,4,3,2,2,2,4,19588,15,7,7
1184,34,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Healthcare Representative,Single,0,Current Employees,5343,4,4,9,4,2,1,3,3,25755,14,13,9
1185,35,35 - 44,R&D,Master's Degree,Other,1,Male,Laboratory Technician,Married,0,Current Employees,2376,3,2,2,4,2,4,2,4,26537,2,2,2
1188,43,35 - 44,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Single,1,Ex-Employees,5346,3,1,3,1,1,3,2,2,9489,7,4,3
1190,32,25 - 34,Sales,High School,Life Sciences,1,Female,Sales Representative,Divorced,0,Current Employees,2827,3,0,0,3,3,1,3,3,14947,1,1,0
1191,56,Over 55,R&D,Master's Degree,Technical Degree,1,Female,Manager,Divorced,0,Current Employees,19943,3,4,2,4,3,1,4,3,18575,28,5,2
1192,29,25 - 34,R&D,High School,Medical,1,Female,Laboratory Technician,Married,0,Current Employees,3131,3,0,8,2,3,4,1,3,26342,10,10,8
1193,19,Under 25,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2552,4,0,0,3,3,1,3,3,7172,1,1,1
1195,45,45 - 54,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,4477,3,0,2,1,3,3,3,2,20100,7,3,2
1196,37,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Manufacturing Director,Married,0,Current Employees,6474,3,3,11,4,2,4,2,2,9961,14,14,8
1198,20,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,0,Current Employees,3033,3,1,2,1,2,3,1,2,12828,2,2,2
1200,44,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Single,1,Ex-Employees,2936,3,0,2,3,3,3,3,3,10826,6,6,4
1201,53,45 - 54,R&D,Associates Degree,Medical,1,Female,Manager,Divorced,0,Current Employees,18606,3,4,7,4,3,3,2,3,18640,26,7,7
1202,29,25 - 34,R&D,High School,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,2168,3,1,3,2,1,4,1,2,26933,6,5,4
1203,22,Under 25,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Married,1,Ex-Employees,2853,3,0,0,3,2,4,2,3,4223,1,0,0
1204,46,45 - 54,Sales,Bachelor's Degree,Marketing,1,Female,Manager,Married,0,Current Employees,17048,4,15,9,3,3,1,1,3,24097,28,26,15
1206,44,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2290,3,0,0,4,1,3,4,3,4279,6,0,0
1207,33,25 - 34,HR,Bachelor's Degree,Human Resources,1,Male,Human Resources,Married,0,Current Employees,3600,3,1,4,2,3,3,4,3,8429,5,5,4
1210,41,35 - 44,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Divorced,1,Ex-Employees,2107,3,0,0,1,2,1,1,1,20293,5,1,0
1211,30,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Divorced,0,Current Employees,4115,3,0,3,3,3,1,3,3,13192,8,4,3
1212,40,35 - 44,Sales,Master's Degree,Medical,1,Male,Sales Executive,Married,0,Current Employees,4327,3,0,0,2,3,2,4,3,25440,5,0,0
1215,50,45 - 54,R&D,Bachelor's Degree,Medical,1,Female,Manager,Married,0,Current Employees,17856,4,2,2,4,3,1,3,3,9490,32,2,2
1216,28,25 - 34,R&D,Master's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,3196,3,3,3,4,2,1,3,3,12449,6,6,5
1217,46,45 - 54,R&D,Associates Degree,Life Sciences,1,Male,Research Director,Married,0,Current Employees,19081,3,0,3,4,3,2,1,3,10849,25,4,2
1218,35,35 - 44,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Married,0,Current Employees,8966,3,1,7,3,3,1,4,3,21026,15,7,7
1219,24,Under 25,R&D,Associates Degree,Life Sciences,1,Female,Laboratory Technician,Married,1,Ex-Employees,2210,3,0,0,4,3,2,1,1,3372,1,1,0
1220,33,25 - 34,Sales,Bachelor's Degree,Medical,1,Female,Sales Executive,Married,0,Current Employees,4539,3,0,1,2,3,3,1,2,4905,10,10,7
1221,36,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,2741,3,1,7,3,1,3,3,3,6865,7,7,7
1224,30,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Laboratory Technician,Divorced,0,Current Employees,3491,3,8,9,3,3,3,1,2,11309,10,10,7
1225,44,35 - 44,R&D,Master's Degree,Other,1,Male,Research Scientist,Single,0,Current Employees,4541,4,13,17,4,3,4,2,3,7744,20,20,11
1226,20,Under 25,Sales,Bachelor's Degree,Marketing,1,Male,Sales Representative,Single,0,Current Employees,2678,3,2,2,3,4,4,4,3,5050,2,2,1
1228,46,45 - 54,R&D,Master's Degree,Technical Degree,1,Male,Manufacturing Director,Divorced,0,Current Employees,7379,3,1,4,4,3,4,3,2,17433,12,6,3
1231,42,35 - 44,HR,Doctoral Degree,Medical,1,Male,Human Resources,Married,0,Current Employees,6272,3,0,3,4,4,1,1,4,12858,10,4,3
1233,60,Over 55,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,5220,3,1,9,2,4,4,2,3,10893,12,11,7
1234,32,25 - 34,R&D,Bachelor's Degree,Other,1,Female,Laboratory Technician,Married,0,Current Employees,2743,4,2,2,3,2,2,3,3,7331,2,2,2
1235,32,25 - 34,R&D,Associates Degree,Life Sciences,1,Female,Research Scientist,Single,0,Current Employees,4998,3,0,7,4,3,3,4,3,2338,10,8,7
1237,36,35 - 44,R&D,Bachelor's Degree,Technical Degree,1,Female,Manufacturing Director,Divorced,0,Current Employees,10252,4,7,7,3,1,1,3,3,4235,17,7,7
1238,33,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,2781,3,4,10,1,3,4,2,3,6311,15,14,10
1239,40,35 - 44,Sales,Bachelor's Degree,Technical Degree,1,Female,Sales Executive,Divorced,0,Current Employees,6852,3,1,3,2,2,2,2,4,11591,7,5,1
1240,25,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,4950,3,1,1,3,3,4,2,3,20623,5,4,3
1241,30,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,3579,4,5,7,4,3,2,1,3,9369,12,11,9
1242,42,35 - 44,R&D,Doctoral Degree,Medical,1,Female,Research Director,Married,0,Current Employees,13191,3,0,0,1,3,1,3,3,23281,20,1,0
1243,35,35 - 44,Sales,Associates Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,10377,3,4,12,3,2,4,2,2,13755,16,13,2
1244,27,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2235,3,6,8,1,3,1,4,2,14377,9,9,7
1245,54,45 - 54,R&D,Master's Degree,Life Sciences,1,Female,Manufacturing Director,Divorced,0,Current Employees,10502,3,1,4,4,3,3,1,1,9659,33,5,4
1246,44,35 - 44,R&D,High School,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,2011,3,7,7,1,4,4,4,3,19982,10,10,5
1248,19,Under 25,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Single,1,Ex-Employees,1859,4,0,0,1,2,2,2,4,6148,1,1,1
1249,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,3760,3,1,2,1,3,4,1,3,5598,3,3,2
1250,54,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Married,0,Current Employees,17779,3,0,9,4,3,4,1,3,23474,36,10,9
1251,31,25 - 34,R&D,Associates Degree,Medical,1,Male,Healthcare Representative,Married,0,Current Employees,6833,3,0,1,3,3,1,4,2,17089,6,6,5
1252,31,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Healthcare Representative,Single,0,Current Employees,6812,3,1,8,3,2,1,2,3,17198,10,10,9
1254,59,Over 55,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Single,0,Current Employees,5171,3,0,5,3,2,4,4,3,16490,13,6,1
1255,43,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Married,0,Current Employees,19740,3,0,7,3,1,4,2,3,18625,25,8,7
1256,49,45 - 54,R&D,Associates Degree,Medical,1,Male,Manager,Married,0,Current Employees,18711,3,0,0,1,2,3,3,4,12124,23,1,0
1257,36,35 - 44,R&D,Bachelor's Degree,Technical Degree,1,Male,Research Scientist,Married,0,Current Employees,3692,3,0,7,3,3,2,3,2,9256,12,11,10
1258,48,45 - 54,R&D,Associates Degree,Technical Degree,1,Male,Laboratory Technician,Single,0,Current Employees,2559,3,0,0,4,4,2,3,2,16620,7,1,0
1259,27,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2517,3,0,3,1,3,3,2,3,3208,5,5,3
1260,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,0,Current Employees,6623,3,1,0,3,3,4,2,3,4204,6,6,0
1263,48,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Single,0,Current Employees,18265,3,0,0,4,2,4,3,4,8733,25,1,0
1264,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Director,Divorced,0,Current Employees,16124,3,1,7,4,2,4,2,2,3423,9,7,7
1265,34,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Female,Research Scientist,Married,0,Current Employees,2585,3,0,0,3,4,3,4,2,21643,2,1,0
1267,44,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Manager,Married,0,Current Employees,18213,3,3,10,2,3,2,3,3,8751,26,22,9
1268,33,25 - 34,Sales,Doctoral Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,8380,3,0,8,4,4,3,4,3,21708,10,9,8
1269,19,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Single,0,Current Employees,2994,3,0,1,2,4,4,4,3,21221,1,1,0
1270,23,Under 25,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,1223,4,0,1,4,3,3,4,3,16901,1,1,0
1273,25,25 - 34,Sales,High School,Life Sciences,1,Male,Sales Representative,Single,1,Ex-Employees,1118,3,1,0,3,1,4,4,3,8040,1,1,0
1275,26,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2875,4,2,2,3,3,4,2,2,9973,8,8,5
1277,45,45 - 54,Sales,Bachelor's Degree,Marketing,1,Female,Manager,Single,1,Ex-Employees,18824,3,1,11,1,1,2,1,3,2493,26,24,10
1278,55,Over 55,R&D,High School,Medical,1,Male,Healthcare Representative,Divorced,0,Current Employees,13577,3,15,0,4,2,2,4,3,25592,34,33,9
1279,21,Under 25,R&D,Associates Degree,Life Sciences,1,Female,Laboratory Technician,Single,1,Ex-Employees,2625,4,2,2,1,2,3,3,1,25308,2,2,2
1280,46,45 - 54,Sales,Associates Degree,Marketing,1,Female,Manager,Married,0,Current Employees,18789,3,0,8,4,2,2,3,3,9946,26,11,4
1281,34,25 - 34,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Single,0,Current Employees,4538,3,0,2,3,3,1,4,3,6039,4,3,2
1282,51,45 - 54,Sales,Bachelor's Degree,Life Sciences,1,Male,Manager,Divorced,0,Current Employees,19847,4,11,10,4,3,2,1,2,19196,31,29,10
1283,59,Over 55,R&D,Master's Degree,Medical,1,Male,Manufacturing Director,Single,0,Current Employees,10512,3,5,4,4,3,4,4,2,20002,25,9,7
1285,34,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Divorced,0,Current Employees,4444,3,5,10,3,3,2,3,4,22534,15,11,8
